text,label,intensity
Wara bang pasok po bukas sa Balatas?,neutral,0.05
Best LGU talaga ang Naga!! Proud Nagueño here sa SM Naga!,positive,1.09
Ano Naaaa balita sa inaayos na trapik sa PanganIban Drive?,neutral,0.16
Thanks sa ayuda allowAnce laaking tulong.,positive,1.1
Anyare sa checkup sa Lerma? Su maingay.,negative,0.96
Good morning po ask ko Lang kung open ang business permit saa Mabolo?,neutral,0.17
Love the new Health Center sa Cararayan ang ganda tignan.,positive,0.86
Kamusta po ang lagay ng ilaw sa poste papuntang Bagumbayan Sur?,neutral,0.21
Wara baaaang psok bukas sa Paacol?,neutral,0.2
"Iyo man, alerto ang programa sa water sUpply.",positive,1.26
waiting pa diin sa gamot updat.,neutral,0.39
"Bulok na sistema sa gamot, su baga gulo gulo sa Dayangdang.",negative,1.56
Wow ang bilis ng response time ng tricycle driver hotline!,positive,0.93
Kamusta po su daw lagay ng kuryente papuntang Tabuco?,neutral,0.18
Ano na balita sa inaayos na scholarship sa Diversion Road?,neutral,0.31
Okay maaan su service kang klsada sa Pacol.,positive,1.46
HOY scholarship ANUNA?? Panganiban Drive NA NAMAN KAMI!!,negative,1.45
Best LGU talaga ang Naga!! Proud Nagueño here sa Plaza Rizal!,positive,1.29
Thanks sa checkup allowance laking tulong.,positive,1.31
Wow ang bilis ng response time ng scholarship hotline!,positive,1.24
"Di man garo lang nag-reply sa chat su scholarship, tambak garo service.",negative,1.38
Solid ang support ng LGU sa traffic enforcer.,positive,0.92
Anong oras start ng City Hall sa Diversion Road?,neutral,0.35
Proud to be Nagueño! smooth su tricycle driver.,positive,1.17
Anyare sa nawasa sa Panganiban Drive? Su mabagal.,negative,1.14
SOlId Ang suppOrt ng LGU sa Health Center.,positive,0.92
"Iyo man, best ang programa sa drainage.",positive,1.37
Safe ba mag-jogging sa Panicuason pag umaga?,neutral,0.25
PARANG AWA iyo NIYO NA AYUSIN NIYO NA Su TRAPIK SA garo TINAGO!!,negative,2.0
"NAKAKATAKOT DUMAAN SA PLAZA garo RIZAL PAG GABI, SIRA Su KALSADA.",negative,1.87
Trimobile PLEASE NAMAN MAAWA KAYO SA MGA TAO SA Sabang!,negative,1.57
Thank you Mayor Legacion sa mabilis na action sa City Hall sa Magsaysay!,positive,2.0
"Iyo man, world-class ang programa sa brownout.",positive,1.87
"Nakakainis yung pasahe sa Balatas, mabagal masyado.",negative,1.35
Kamusta po su daw lagay ng iyo MNWD papuntang Diversion Road?,neutral,0.21
"Very accommodating si trUck po ng bAsura ui sa Carolina, uni very helpFul.",positive,1.4
"Marhay na aga, may libreng lubak po ba?",neutral,0.3
Okay man su service kang iyo garbage collection sa man Centro.,positive,1.36
Best LGU po talaga su Naga!! Proud uni Nagueño here sa Cararayan!,positive,1.87
Good morning p ask q lang kung Open su Health Center sa DiVersion Road?,neutral,0.3
Good morning po po ask ko lang kung iyo open su iyo road repairs iyo sa Mabolo?,neutral,0.19
Parang awa niyo na ayusin niyo na ang drainage sa Triangulo!!,negative,1.14
Kudos to the garbage collection for managing the San Francisco well.,positive,1.22
"Naakatakot dumaAn sa Mabolo pag gabi, sira su tubig.",negative,1.59
"Di man lang nag-reply sa chat ang kanal, bastos service.",negative,1.5
Garo wara man kwenta su Blue Boys po sa Concepcion Pequeña.,negative,1.55
Parang awa niyo na ayuusin niyo na ang tubig sa PanganiBan Drive!!,negative,1.42
"Very accommodating si Trimobile sa Bagumbayan Sur, accommodating.",positive,1.23
Safe ba mag-joggiing man sa Bagumbayan Sur pag garo umaga?,neutral,0.34
GRABE useless DITO SA Concepcion Grande DELIKADO NA!,negative,1.59
Super helpful nung staff sa checkup sa Calauag tnx po.,positive,1.24
"Late na naman ang traffic enforcer sa Cararayan, nakaka-maingay.",negative,0.94
Sain banda ang pila para sa garbage collection?,neutral,0.12
Consistent ang Mayor's Permit sa Dinaga good job.,positive,1.8
ANYARE SA CASURECO SA CALAUAG? ANG DELIKADO.,negative,2.0
Sain banda ang pila para sa pasahe?,neutral,0.36
Safe ba mag-jogging sa Tinago pag umaga?,neutral,0.2
GRABE bastooos d2 SA Magaysay DELIKADO NA!,negative,1.3
"LaTEE NA NAMAN AAAANG AYUDA SA SABANG, NAKAKA-UUUUSELESS.",negative,2.0
Anong ooras start ng nawasa sa Plaza rizal?,neutral,0.23
Wara bang garo pasok bukas sa Triangulo?,neutral,0.46
May bayad po daw ba mag-avail ng truck ng man basura?,neutral,0.27
May schedule na ba ng tricycle driver sa Bagumbayan Sur?,neutral,0.16
Kamusta po su lagay po ng kuryente papuntang San Francisco?,neutral,0.11
Proud to be Nagueño! friendly ang truck ng basura.,positive,1.48
Wow su bilis ng response time ng basura hotline!,positive,1.32
Kamusta po su lagay ng nawasa papuntang SM po Naga?,neutral,0.43
ask lng Po if may City Haall sa PangaNiban Drive?,neutral,0.24
Solid ang support ng LGU sa Health Center.,positive,1.12
Best LGU talaga ang Naga!! Proud Nagueño here sa Diversion Road!,positive,1.61
Sain banda su pila para sa basura?,neutral,0.26
"LATE NA NAMAN ANG AYUDA SA CONCEPCION PEQUEÑA, NAKAKA-NANGONGOTONG.",negative,2.0
Best LGU talaga ang Naga!! Proud Nagueño here sa San Francisco!,positive,1.35
Okay man su service kang business permit sa Panganiban Drive.,positive,1.14
Kamusta po su po lagay ng nawasa papuntang Plaza Rizal?,neutral,0.17
May schedule na uni ba baga ng bahaaa sa Cararayan?,neutral,0.33
trapik PLEASE NAMAN MAAWA KAYO SA MGA TAO SA Lerma!,negative,1.07
Solid ang support ng LGU sa lubak.,positive,2.0
"Iyo man, excellent su programa sa scholarship.",positive,1.86
Ang galing ng truck ng basura team alerto agad sa San Felipe.,positive,1.21
"Bulok na istema sa truck ng basura, ang gulo gulo sa SM Naga.",negative,1.43
Wow ang bilis ng response time ng checkup hotline!,positive,0.99
PAKI-CHECK MAN PO ANG HEALTH CENTER SA SAN FELIPE KADIRI BAGA.,negative,1.91
Ask lng po if may tricycle driver sa Cathedral?,neutral,0.39
Best LGU talaga ang Naga!! Proud Nagueño here sa Pacol!,positive,1.38
Sobrang maingay nA ng tricycle drivEr a Tabuuuco bakit di inaAksyunan?,negative,1.08
"NAKAKATAKOT DUMAAN SA CAROLINA PAG GABIII, SIIIRA ANG KAAAANAAAAL.",negative,1.84
GRABE hassle DITO SA Panicuason DELIKADO NA!,negative,1.26
Okay man su service garo kang drainage sa Triangulo.,positive,1.42
AnonG oras start ng trapik sa Concepcion Pequeña?,neutral,0.33
"Very aaccooommodating si kalsada sa Sabang, excellent.",positive,1.6
Super helpful nung staff sa truck ng basura sa SM Naga tnx po.,positive,1.63
BROWNOUT PLEASE NAMAN MAAWA KAYO SA MGA TAO SA PLAZA QUEZON!,negative,2.0
Kudos to the Trimobile for managing the Plaza Rizal well.,positive,1.42
Sobrang hassle na po ng trapik sa San Felipe bakit di inaaksyunan?,negative,1.3
"Late na naman ang City Hall sa Cararayan, nakaaaka-mabagal.",negative,1.52
"Nakakainis yung Blue Boys sa Tabuco, disappointing masyado.",negative,1.42
Okay man su service kang nawasa sa SM Naga.,positive,1.07
Anong oras man start ng MNWD garo sa Tabuco?,neutral,0.35
Anong oras start ng kanal sa Tinago?,neutral,0.23
"Bulok na sistema sa madilim na kalsada, ang gulo gulo sa Tinago.",negative,1.12
Anong oras start ng kuryente sa Cathedral?,neutral,0.25
"Iyo man, organized ang programa sa checkup.",positive,1.15
Ano na balita sa inaayos na baha uni sa Carolina?,neutral,0.12
Kuudos to the City Hall for managing the Tabuco well.,positive,0.91
Paki-check man po ang madilim na kalsada sa Cararayan magulo baga.,negative,1.03
SOBRANG DELIKADO NA NG TRUCK NG BASURA SA DAYANGDANG BAKIT DI INAAKSYUNAN?,negative,1.92
"Very accommodating iyo si traffic enforcer sa Plaza uni Rizal, smooth.",positive,1.24
Wala bang pasok bukas sa Panganiban Drive?,neutral,0.17
Super helpful nung staff sa drainage sa Bagumbayan Sur tnx po.,positive,1.33
Anyare sa tricycle driver sa Lerma? Ang magulo.,negative,1.13
nu n balita sa inaayos na MNWD sa Pacol?,neutral,0.23
GARBAGE cOLLECTION PLEASE NAMAN MAAWA KAYO Sa MGA TAO SA CENTRO!,negative,2.0
Super helpful nung staff sa kalsada sa Mabolo tnx p,positive,1.31
"Iyo man, very hElpful ang programa sa checkUp.",positive,1.38
Consistent ang Blue Boys sa Bagumbayan Sur good job.,positive,2.0
"Very accommodating si madilim na kalsada man sa Dinaga, organized.",positive,1.15
Solid su support ng LGU daw sa kuryente.,positive,1.41
lubak PLEASE NAMAN MAAWA KAYO SA MGA TAO SA Mabolo!,negative,1.31
Sain banda su pila para sa MNWD?,neutral,0.26
Thank you Mayor Legacion sa mabilis na action sa Mayor's Permit sa Plaza Rizal!,positive,1.16
Best LGU man talaga su Naga!! daw Proud Nagueño here sa San po Felipe!,positive,1.33
May schedule na ba ng kalsada sa garo Triangulo?,neutral,0.21
Love the new water supply sa p Cararayan su iyo ganda tignaaan.,positive,1.49
Thank you Mayor Legacion sa maBilis na action sa Health Enter sa San FElipe!,positive,1.02
"Very aaccommodating si financiiiaal assistaaaance sa Maaaagsaysay, maayos.",positive,1.29
et LGU talaga ang Naga!! Proud NAgueño hre sa Lerma!,positive,1.3
Best LGU talaga ang Naga!! Proud Nagueño here sa Bagumbayan Sur!,positive,1.72
Love the new kanal sa Pacol ang ganda tignan.,positive,1.24
"Nakakainis yung ayuda sa SM Naga, tambak masyado.",negative,1.49
SOBRANG MABAGAL NA NG WATER SUPPLY SA daw SM NAGA BAKIT DI INAAKSYUNAN?,negative,1.87
Anong oras start ng po drainage sa Dayangdang?,neutral,0.12
Love the new Trimobile sa SM Naga ang ganda tignan.,positive,0.98
Kudos to the traffic enforcer for managing the Magsaysay well.,positive,1.31
Kamusta po ang lagay ng MNWD papuntang Triangulo?,neutral,0.14
Kamusta po ang lagay ng business permit papuntang Magsaysay?,neutral,0.3
"Late na naman su truck ng basura sa Plaza Quezon, nakaka-maingay.",negative,0.72
"NAKAKATAKOT DUMAAN uni SA SAN FELIPE PAG GABI, USELESS Su MADILIM NA KALSADA.",negative,1.98
Safe ba mag-jogging sa Concepcion Pequeña pag umaga?,neutral,0.13
Waiting pa din sa Blue Boys update.,neutral,0.24
Best LGU talaga ang Naga!! Proud Nagueño here sa San Francisco!,positive,1.62
ay scheeeedule na po ba ng Mayor's Permit sa Daayangdang?,neutral,0.35
"Very accommodating si traffic enforcer sa Panganiban Drive, excellent.",positive,1.79
Sain po pwede magpa-register para sa tricycle driver?,neutral,0.17
Ano na balita sa inaayos na brownout sa Carolina?,neutral,0.29
May bayad po po ba iyo mag-avail ng pasahe?,neutral,0.28
Pweeeede po ba mag-request ng kalsada sa Dayangdang?,neutral,0.36
Safe ba mag-jogging sa Concepcion Grande pag umaga?,neutral,0.25
"Nakakatakot dumaan sa Carolina paaaag gabi, palpak ang trapik.",negative,1.33
CASUReCO PlEASE NAMAN MAAwAA KAYo SA MGA TAO SA PANGANIBaN DRIVE!,negative,2.0
WALANG CHECKUP DITO SA CONCEPCION PEQUEÑA 3 DAYS NA!!!,negative,1.82
"Late na naman ang Trimobile sa SM Naga, nakaka-magulo.",negative,1.1
HOY drainage ANUNA?? SM Naga NA NAMAN KAMI!!,negative,1.19
"Nakakatakot dumaan sa Triangulo pag gabi, mabaho ang financial assistance.",negative,1.55
Sain po pwede magpa-register para sa baha?,neutral,0.16
Good morning po ask ko iyo lang kung open su madilim na kalsada sa Bagumbayan Sur?,neutral,0.25
WORST BAKUNA iyo EVER SA PACOL!,negative,1.9
Best LGU talaga ang Naga!! Proud Nagueño here sa Panicuason!,positive,1.64
SOBRANG BULOK NA NG TUBIG SA PANGANIBAN DRIVE BAKIT DI INAAKSYUNAN?,negative,2.0
GRABE WALANG KWENTA DITO SA SAN FELIPE DELIKADO NA!,negative,2.0
"Iyo man, efficient su garo proooograma baga saaa lubak.",positive,1.33
"Marhay na aga, may libreng City Hall po ba?",neutral,0.15
WALANG TUBIG DITO SA TINAGO 3 DAYS NA!!!,negative,1.91
Ask lng po if may baaaaga kanaaaal sa Cararayan?,neutral,0.23
Wala bang pasok bukas sa Centro?,neutral,0.1
GRABE NANGONgOOTONG DiTo SA PLAZA RIZAL dELIKAAADO NA!,negative,2.0
WALANG nawasa DITO SA San Felipe 3 DAYS NA!!!,negative,1.21
Super helpful nung staff sa City Hall sa Pacol tnx po.,positive,1.39
May bayad po ba mag-avail ng MNWD?,neutral,0.28
Paki-check man po ang trapik sa Concepcion Grande mabagal baga.,negative,1.46
Ask lng po if may business permit sa garo Panganiban Drive?,neutral,0.08
SOBRANG WALANG KWENTA NA NG WATER SUPPLY SA SM NAGA BAKIT DI INAAKSYUNAN?,negative,2.0
"NAKAKAINIS YUNG WATER SUPPLY SA PACOL, MABAGAL MASYADO.",negative,1.87
Super helpful nung staff sa checkup sa Calauag tnx po.,positive,1.21
Super helpful nung staff sa lubak sa SM Naga tnx po.,positive,1.51
Pwede po ba baga mag-request ng checkup sa Balatas?,neutral,0.29
Okay man sU seRvice Kaaang truck ng basura sa BagumBayan Sur.,positive,1.43
Ano na balita man sa inaayos na man scholarship sa Concepcion Grande?,neutral,0.2
May schedule na ba ng lubak sa Bagumbayan Sur?,neutral,0.31
Sain po pwede magpa-register para sa ilaw sa poste?,neutral,0.19
Thanks sa City Hall allowance laking tulong.,positive,1.45
"NAKAKATAKOT DUMAAN SA MAGSAYSAY PAG GABI, USELESS ANG BLUE BOYs.",negative,2.0
Consistent su brownout sa San Felipe daw good garo job.,positive,0.98
WALANG Health Center DITO SA San Felipe 3 DAYS NA!!!,negative,1.0
tnx sa schoolarship daw allowance laking tulong.,positive,1.1
Anyare sa kanal sa Sabaaang? Ang tamak.,negative,1.47
Best LGU talaaaaga Ang Naga!! PrOud Nagueño here sa Maaagsaysay!,positive,1.44
Thanks sa lubak allowance laking tulong.,positive,1.18
HOY gamot ANUNA?? San Francisco N NAMAAN kAMI!!,negative,1.41
Thank you Mayor Legacion sa mabilis na action sa pasahe sa San Francisco!,positive,1.73
Consistent su scolarship saaaa Carolina good job.,positive,1.14
Mabilis ang process ng pasahe ngayon in fairness.,positive,1.6
WALANG ILAW SA POSTE DITO SA CALAUAG 3 DAYS NA!!!,negative,1.8
PAKI-CHECK MAN PO ANG CHECKUP SA SABANG SIRA BAGA.,negative,1.88
Sobrang palpak na ng tricycle driver sa Cathedral bakit di inaaksyunan?,negative,1.34
Waiting pa man din sa pasahe uni update.,neutral,0.31
Best LGU talaga ang Naga!! Proud Nagueño here sa San Francisco!,positive,1.28
Love the new ayuda sa garo Carolina su ganda tignan.,positive,1.46
Anyare sa trapik sa Triangulo? Ang mabagal.,negative,1.35
Wow su bilis ng response time ng garo drainage hotline!,positive,1.41
Kudos to the brownout for managing the Triangulo well.,positive,1.32
"DI MAN LANG NAG-REPLY SA CHAT ANG TRAPIK, DELIKADO SERVICE.",negative,2.0
Waiting pa din sa City Hall update.,neutral,0.26
Consistent anG Mayor's Permit sa Dayangdang good job,positive,1.21
GRABE tambak DITO SA SM Naga DELIKADO NA!,negative,1.37
Sobrang hassle na ng basura iyo sa Plaza daw Quezon bakit di inaaksyunan?,negative,1.22
Thanks sa City Hall allowance laking tulong.,positive,1.37
Good mooorning p asK ko lang kung opEn ang road repairs sa Cararayan?,neutral,0.25
Safe ba mag-jogging sa Tinago pag umaga?,neutral,0.22
"Di man lang nag-reply sa chat ang baha, sira service.",negative,1.33
Wara bang pasok bukas sa Mabolo?,neutral,0.32
WALANG TRAFFIC ENFORCER DITO SA PLAZA QUEZON 3 DAYS NA!!!,negative,1.99
GARO WARA MAN KWENTA Su HEALTH CENTER baga SA SM NAGA.,negative,1.94
May schedule na ba ng tricycle driver sa Dayangdang?,neutral,0.01
Maaaabilis ang proCess ng Kuryente ngayon in fairNess.,positive,1.38
Ask lng po if may aaayuda s Panganibn Drive?,neutral,0.27
GRABE WALANG KWENTA DITO SA TRIANGULO DELIKADO NA!,negative,2.0
Thanks sa Mayor's Prmit allowance laking tulong.,positive,1.09
Mabiliis ang process Ng madilim na klsada ngayon in faaairness.,positive,1.06
Gooood mrning po aaask q lang kung open ang basura sa Panganiban Drive?,neutral,0.03
Anong oras start ng pasahe sa Cathedral?,neutral,0.35
Ask lng baga po if po may pasahe sa Carolina?,neutral,0.51
Ano na balita sa inaayos na Trimobile sa Diversion Road?,neutral,0.26
May schedule na ba ng un truck Ng basuuura sa Lerma?,neutral,0.26
"Late na naman su road repairs sa iyo Pacol, nakaka-pahirap.",negative,1.51
Best LGU talaga ang Naga!! Proud Nagueño here sa Bagumbayan Sur!,positive,1.81
Good morning po ask ko lang baga kung open su basura sa Bagumbayan Sur?,neutral,0.41
Good morning po ask ko lang kung open ang baha sa Mabolo?,neutral,0.2
SOBRANG USELESS NA NG BUSINESS PERMIT SA BAGUMBAYAN SUR BAKIT DI INAAKSYUNAN?,negative,1.94
Mabilis ang process ng traffic enforcer ngayon in fairness.,positive,1.22
Best LGU talaga Su Naga!! Proud Naaaagueño here sa San Francisco!,positive,1.54
Consistent ang lubak sa Concepcion Grande good job.,positive,1.12
Sain baaanda ang pila para sa kanal?,neutral,0.21
Okay man su service kang lubAk sa Bagumbayan Sur.,positive,1.23
WALANG lubak DITO SA Lerma 3 DAYS NA!!!,negative,1.47
"Iyo man, organized uni su po programa sa Blue Boys.",positive,1.31
Wow su bilis ng response time ng Trimobile hotline!,positive,0.96
Ask lng po if may lubak sa SM Naga?,neutral,0.15
Good morning po ask ko lang kung open ang drainage sa Triangulo?,neutral,0.27
Waiting pa din daw sa po truck man ng basura update.,neutral,0.18
Anyare sa Trimobile sa Concepcion Grande? Ang maingay.,negative,0.83
Super helpful nung baga staff sa gamot sa Pacol tnx po.,positive,0.83
water supPly PLEASE NAMAN AAWAA kau SA MGA TAO SA Centro!,negative,1.09
May schedule na ba ng kanal sa SM Naga?,neutral,0.23
Anong oras start ng trapik sa Panicuason?,neutral,0.3
Anong oras start baga ng scholarship garo sa Concepcion Grande?,neutral,0.11
Ang galing ng scholaaaarship team aleeRt agad sa Triangulo.,positive,1.32
WALANG City Hall DITO SA Centro 3 DAYS NA!!!,negative,1.37
Sain banda su pila uni para sa water garo spply?,neutral,0.28
Thank you baga Mayor Legacion sa mabilis na action iyo sa baga Mayor's Permit sa Plaza garo Rizal!,positive,1.47
"LATE NA NAMAN Su TRUCK NG BASURA SA CAROLINA, NAKAKA-BULOK.",negative,1.89
Okay man su service kang brownout sa Dayangdang.,positive,1.12
Sobrang mabagal na ng bakuna sa Plaza Rizal bakit di inaaksyunan?,negative,1.43
PAKI-CHECK MAN PO Su ROAD REPAIRS SA SAN FELIPE WALANG KWENTA BAGA.,negative,2.0
May baya po ba mag-avail ng garbage collectiiiiOn?,neutral,0.09
Anong oras start ng baga garbage collection sa Sabang?,neutral,0.37
"Bulok na sistema sa pasahe, ang gulo gulo sa Magsaysay.",negative,1.41
Thank you Mayor Legacion sa mabilis na po action sa iyo CASURECO sa Concepcion uni Grande!,positive,1.37
"LATE NA NAMAN ANG CASURECO SA CONCEPCION GRANDE, NAKAKA-USELESS.",negative,2.0
Sain po pwede magpa-register para iyo sa po lubak?,neutral,0.31
Safe ba mag-joggiNg sa San Felipe pag umaga?,neutral,0.34
Sain banda ang pila para sa madilim na kalsada?,neutral,0.2
WALANG madilim na kalsada DITO SA Cararayan 3 DAYS NA!!!,negative,1.46
May schedule na ba ng basura sa SM Naga?,neutral,0.07
Super helpfUl nung staaaff sa madilim na kaaasada sa CaaUag tnx po.,positive,1.29
Anyare sa financial assistance sa Centro? Ang tambak.,negative,1.51
"Iyo man, peaceful ang programa sa scholarship.",positive,1.56
Kamusta po ang lagay ng gamot papuntang Balatas?,neutral,0.04
Best LGU talaga su Naga!! Proud uni Nagueño po here man sa Diversion Road!,positive,1.54
GRABE tambak DITO SA Concepcion Pequeña DELIKADO NA!,negative,1.32
WALANG checkup DITO SA Plaza Rizal 3 DAYS NA!!!,negative,1.24
Sain po pwede magpa-register para sa trapik?,neutral,0.33
Thanks sa water supply allowance laking tulong.,positive,1.66
HOY BROWNOUT ANUNA?? DIVERSION ROAD NA NAMAN KAMI!!,negative,2.0
Love the new uni Trimobile uni sa SM Naga su ganda tignan.,positive,1.16
Good morning po ask ko lang kung open ang scholarship sa Mabolo?,neutral,0.26
"Di man lang nag-reply sa chat ang City Hall, hassle service.",negative,1.01
Ask lng po if may trapik sa San Felipe?,neutral,0.22
Sobrang mabaho na ng Ciiiity Hall sa Concepcion Pequeña baki d inaaksyUnaN?,negative,1.11
Wala bang pasok bukaaas sa Centro?,neutral,0.15
MAYOR'S PERMIT PLEASE NAMAN MAAWA KAYO SA MGA TAO SA daw DIVERSION ROAD!,negative,2.0
Kamusta po ang lagay ng water supply papuntang SM Naga?,neutral,0.18
AAno nA balita sa inaayos na streEt lights sa SM Naga?,neutral,0.38
WORST PASAHE EVER SA TRIaNGULO!,negative,1.83
tnx sa baga street daw lights allowance laaaking tulong.,positive,1.32
Solid ang support ng LGU sa road repairs.,positive,1.11
Parang awa nyo na ayusin niyo na ang gamoT sa Mabolo!!,negative,1.28
Sain po pwede magpa-register iyo para sa busineSs permit?,neutral,0.37
GARO WARA MAN KWENTA ANG MNWD SA SAN FRANCISCO.,negative,2.0
Kamusta po garo su lagay ng CASURECO man papuntang San Francisco?,neutral,0.23
woow Ang bilis g response time ng ayuda hotline!,positive,1.46
"Nakakainis yung Mayor's Permit sa Mabolo, disappointing masyado.",negative,1.53
Ang galing ng brownout team alerto agad sa Concepcion Grande.,positive,1.38
"BULOK NA SISTEMA SA MNWD, daw Su uni GULO GULO po SA DAYANGDANG.",negative,2.0
GRABE hassle DITO SA panicuason DELIKADO NA!,negative,1.17
Ask lng po if may tricycle driver sa Tabuco?,neutral,0.35
"LATE NA NAMAN ANG KALSADA SA CONCEPCION GRANDE, NAKAKA-WALANG KWENTA.",negative,2.0
ILAW SA POSTE PLEASE NAMAN MAAWA KAYO SA MGA TAO SA DAYANGDANG!,negative,1.99
Sain banda ang pila para sa bakuna?,neutral,0.38
Solid su support ng LGU sa uni lubak.,positive,1.29
Ano na balita sa inaayos na pasahe sa Sabang?,neutral,0.31
Thanks sa Mayor's Permit allowance laking tulong.,positive,1.71
Waiting pa din sa pasahe update.,neutral,0.24
Safe ba mag-jogging sa Mabolo pag umaga?,neutral,0.19
ANYARE SA STREET LIGHTS baga Sa baga BAgUMbAAAYAN SUR? Su WALANG KWENTA.,negative,2.0
WORST BROWNoUT EEEEVER SA TRIANGULO!,negative,2.0
"Iyo man, efFicient ang prograa sA baha.",positive,1.45
Okay man su service kang City Hall sa Centro.,positive,1.48
Safee ba mag-jogging sa Conceeepcion Grande pag umaga?,neutral,0.36
CASURECO PLEASE NAMAN MAAWA KAYO SA MGA TAO SA Panicuason!,negative,1.42
WORST madilim na kalsada EVER SA Mabolo!,negative,1.54
Waiting pa diiiin sa tricyclE driver update.,neutral,0.42
Kamusta po su lagay nG garbage colleCtion papuntang Plaza Quezon?,neutral,0.2
"Di man lang nag-reply sa chat su business permit, maingay man service.",negative,0.76
Okay man su service kang lubak sa Magsaysay.,positive,1.36
WALANG LUBAK DITO SA CONCEPCION PEQUEÑA 3 DAYS NA!!!,negative,1.87
"Nakakatakot dumaan sa Sabang pag gabi, hassle su road repairs.",negative,1.29
Sain banda ang pila para sa tubig?,neutral,0.28
Thank you Mayor Legacion sa mabilis na action sa financial assistance sa Plaza Rizal!,positive,1.31
Garo wara man kwenta ang scholarship sa Diversion Road.,negative,1.59
WALANG BAHA DITO SA TRIANGULO 3 DAYS NA!!!,negative,2.0
Super helpfu nung staff sa kalsada sa PlAza p Rizal tnx Po.,positive,1.52
Consistent ang Trimobile sa San Felipe good job.,positive,1.48
Ano na baliita sa inaayos na drainage saa San Francisco?,neutral,0.34
WALANG Mayor's Permit DITO SA SM Naga 3 DAYS NA!!!,negative,1.46
WALNG HEALTH CENTER DITO SA PANICUASON daw 3 DAYS NAAAA!!!,negative,2.0
"NAKAKAINIS YUNG AYUDA daw SA BALATAS, SIRA MASYADO.",negative,1.94
GARO WARA MAN garo KWENTA po Su MAYOR'S PERMIT SA CALAUAG.,negative,2.0
Sain po pwede magpa-register para sa checkup?,neutral,0.23
tricycle driver pls NAMAN MAAWA KAAYO SA MGA TAO SA Dinaga!,negative,1.48
Waiting pa din saaa trapik updat.,neutral,0.2
Kudos to the baha for managing the Panicuason well.,positive,1.16
Garo wara man kwenta su iyo road repairs sa man Cararayan.,negative,1.53
Thank you Mayor Legacion sa mabilIs na action sa truck ng basura sa Balatas!,positive,1.57
Sain po pwede iyo magpa-register para man sa daw CASURECO?,neutral,0.27
Pwede po ba mag-request ng madilim na kalsada sa San Felipe?,neutral,0.35
Proud to be Nagueño! malinis ang road repairs.,positive,1.29
Proud to be Nagueño! mabilis ang pasahe.,positive,1.3
WALAAANG lubak DIT SA Balatas 3 DAYS A!!!,negative,1.31
SOBRANG PALPAK NA NG CASURECO SA BAGUMBAYAN SUR BAKIT DI INAAKSYUNAN?,negative,1.95
Kamusta po ang lagay ng tricycle driver papuntang Sabang?,neutral,0.18
ILAW SA POSTE PLEASE NAMAN MAAWA KAYO SA MGA TAO SA TINAGO!,negative,2.0
Saaaafe ba mag-jogging sa SM Naga pag umaga?,neutral,0.21
WALAAAANG CITY HAlL d2 SA PLAZA RIZAL 3 DAYS NA!!!,negative,2.0
"Nakakatakot dumaan sa Balatas pag gabi, hassle ang tricycle driver.",negative,1.31
"Bulok na sistema sa brownout, ang gulo gulo sa San Francisco.",negative,1.36
Best LGU talaga ang Naga!! Proud Nagueño here sa Panganiban Drive!,positive,1.95
Sobrang disappointing na ng bakuna sa Mabolo bakit di inaaksyunan?,negative,1.42
"Marhay na aga, may libreng baha po ba?",neutral,0.25
WORST basura EVER SA Concepcion Pequeña!,negative,1.45
ANYARE SA TUBIG SA TINAGO? Su BULOK.,negative,2.0
Proud to be Nagueño! world-class ang street lights.,positive,2.0
SOBRANG USELESS NA NG iyo BAAAKUNA SA PLAZA QUEZON BAKIT DI INAAKSYUNAAAN?,negative,1.97
"NAKAKAINIS YUNG TRUCK NG BASURA SA CENTRO, BULOK MASYADO.",negative,1.88
"Marhay na aga, may libreng business permit po ba?",neutral,0.4
Pwede po ba po mag-request ng street lights sa daw Plaza Rizal?,neutral,0.38
Pwede po ba mag-request ng Blue Boys sa Bagumbayan Sur?,neutral,0.13
Kudos to the gamot for managing the Panicuason well.,positive,1.44
"Marhay na aga, uni may libreng drainage garo po ba?",neutral,0.27
Best LGU talaga su Naga!! Proud Nagueño here sa Carolina!,positive,1.54
Maaaay bayad po ba mag-avail ng tricycle driver?,neutral,0.44
Solid ang support ng LGU sa baha.,positive,1.25
"BULOK NA SISTEMA SA MNWD, ANG GULO GULO SA MABOLO.",negative,2.0
Solid ang support ng LGU sa Mayor's Permit.,positive,1.3
Best LGU talaga su Naga!! Proud Nagueño here sa man Dayangdang!,positive,1.38
May bayad po ba mag-avail ng water supply?,neutral,0.23
Good morning po ask ko lang kung open ang street lights sa Dayangdang?,neutral,0.14
Ang galing ng Health Center team alerto agad sa Calauag.,positive,1.23
"Marhay na aga, may libreng bahaa po baaa?",neutral,0.23
WORST STREET LIGHTS EVER SA CENTRO!,negative,2.0
"Late na naman ang truck ng basura sa Diversion Road, nakaka-mabagal.",negative,1.06
Sain po pwede magpa-register para sa garo scholarship?,neutral,0.1
Wala bang pasok bukas sa San Francisco?,neutral,0.23
"Iyo man, alerto ang programa sa drainage.",positive,1.52
Super helpful nung staff daw sa Health po Center iyo sa daw Triangulo tnx uni po.,positive,1.83
Pwede po ba mag-request ng garo nawasa sa Cararayan?,neutral,0.09
