text,label,intensity
Good daw job LGU! excellent ang financial assistance sa Dinaga ngayon.,positive,1.51
"Please lang, garo paki-ayos ang ilaw sa poste sa Carolina, sobrang sira eh.",negative,1.23
"Anubayaan, walaNg kwEntaa na naman ang kanal sa Carolina.",negative,1.9
"Anubayan, magulo uni na naman ang financial assistance sa Lerma.",negative,1.1
"Hassle namaaaN sa Dayangdang, ang walaNg kwenta ng kurYeeente.",negative,2.0
Su galing ng CASURECO team alerto agad sa Tinago.,positive,1.01
Garo wara man kwenta ang garbage collection sa Concepcion Pequeña.,negative,1.75
Okay iyo man su service kang renewal sa Sabang.,positive,1.1
"Grabe, why is the baha sa Sabang super hassle?",negative,1.23
HOY man checkup ANUNA?? Concepcion Grande NA NAMAN KAMI!!,negative,1.98
"Wow, in fairness, ang very helpful na ng kuryente sa Tabuco!",positive,1.56
"Wow, in fairness, ang maayos na ng kUryente sa sAbang!",positive,1.1
Salamat mayora solid Na ang truck ng basura sa Calauag.,positive,1.62
"Salamat su Mayor, organized na ang tubig sa Carolina.",positive,1.32
Sain po garo pwede magpa-register para sa Trimobile?,neutral,0.4
"Marhaaay na marhAy ang City Hall sa Dayangdang, maganda baga.",positive,1.19
Su galing ng nawasa team alerto agad sa Pacol.,positive,1.21
"Wow, in fairness, aNg mabiliiis na ng garbagE collection sa Mabolo!",positive,1.32
"Grabe, why iiis the street lights saaa Dayangdang suuuper mabagal?",negative,1.48
"Anubayan, sira na naman ang Health Center sa Pacol.",negative,1.62
"Salamat baga Mayor, efficient na ang MNWD sa Concepcion Grande.",positive,1.52
"Napaka-mabilis iyo ng staff ng nawasa sa Lerma, kudos!",positive,1.53
"Wow, uni in fairness, ang maganda na ng tricycle sa Mabolo!",positive,0.98
"Tanong garo lang, kamusta ang checkup sa Calauag?",neutral,0.8
"Sobrang maingay ng scholarship sa Bagumbayan Sur, nakaka-stress!",negative,1.01
Salamat mayora alerto na ang tubig sa Lerma.,positive,1.8
"Hassle naman sa Balatas, ang disappointing ng garbage collection.",negative,1.41
"Marhay uni na marhay ang street lights sa Concepcion Grande, maganda baga.",positive,1.39
"NapAkaa-friendly Ng staff ng gamot sa Concepcion Peequeeña, kudos!",positive,1.04
Su galing ng Mayor's Permit team alerto agad sa Sabang.,positive,1.12
"Sobrang bulok ng traffic enforcers sa Sabang, nakaka-stress!",negative,1.57
"Anubayan, mabaho iyo na naman ang truck ng basura sa Panicuason.",negative,1.34
"Sobrang baha ng trapik sa Bagumbayan Sur, nakaka-stress!",negative,1.98
Solid ang support ng LGU sa madilim na kalsada.,positive,1.49
"Napaka-maganda iyo ng staff ng tubig sa Concepcion Grande, kudos!",positive,0.95
"Sobrang mabaho ng CASURECO sa Centro, nakaka-stress!",negative,1.4
Garo wara man kwenta ang truck ng basura sa Sabang.,negative,1.38
"Grabe, why uni is the lubak sa Calauag super mabagal?",negative,1.22
"Grabe, baga why is the garbage collection sa Bagumbayan Sur super tambak?",negative,1.45
Solid ang support ng LGU sa kalsada.,positive,1.43
"Grabe, why is the Blue Boys sa Bagumbayan Sur super tambak?",negative,1.29
Su galing ng CASURECO team alerto agad sa Dayangdang.,positive,1.29
Okay man su service kang Trimobile sa Lerma.,positive,1.1
Su galing ng MNWD team alerto agAd sa Lerma.,positive,1.74
May update na ba sa garbage collection sa Pacol?,neutral,0.16
"Grabe, why uni is the garbage collection sa Tabuco super baha?",negative,1.54
Su galing man ng truck ng basura team alerto agad sa Triangulo.,positive,1.11
"Salamat Mayor, malinis na ang drainage sa Calauag.",positive,1.21
"Marhay na marhay ang madilim na kalsada sa Panicuason, friendly baga.",positive,0.89
"Wow, in fairness, ang maayos na ng lubak sa Triangulo!",positive,1.13
"Hassle naman sa Concepcion Pequeña, ang mabagal ng road repairs.",negative,1.17
"Sobrang baha baga ng Blue Boys sa Centro, nakaka-stress!",negative,1.85
"Wow, in fairnesS, anG maGanda na ng water supply sa PeñaaafraNcia!",positive,1.4
"Napaka-efficient ng man staff ng garbage collection sa Dinaga, kudos!",positive,1.66
May update na ba sa renewal sa Dinaga?,neutral,0.06
"Napaka-alerto man ng staff ng kalsada sa Pacol, kudos!",positive,1.54
"Paki-check naman ang checkup sa Carolina, walang kwenta na masyado.",negative,1.82
Garo wara man kwenta ang financiaal assistance sa Concepcion Pequeña.,negative,1.45
"Bulok daw na sistema saa Ciiity Hall, ang gulo sa Triangulo.",negative,1.31
"Napaka-very helpful ng staff ng nawasa sa Panicuason, kudos!",positive,1.26
"Wow, in su fairness, ang maganda na ng garbage collection sa Lerma!",positive,1.31
Solid baga ang support ng LGU sa lubak.,positive,1.62
"Salamat Mayor, malinis na ang trapik sa Dinaga.",positive,1.0
HOY kanal garo ANUNA?? Calauag NA NAMAN KAMI!!,negative,1.85
"Paki-check namaN ang City Hall sa Carolina, baha na masyado.",negative,1.73
"Hassle uni naman sa Pacol, ang magulo ng drainage.",negative,1.11
"Salamat Mayor, excellent na ang trapik sa Tinago.",positive,1.6
Su galing ng madilim na kalsada team alerto agad sa Centro.,positive,1.25
"Hassle naman sa Lerma, ang bulok ng kuryente.",negative,1.51
Okay man su service kang brownout sa Dayangdang.,positive,1.1
"Grabe, why is the TrapIk sa Lerma super walang kwenta?",negative,1.92
"Anubayan, walang kweenta na naaaman ang kuryente sa Concepcion Grande.",negative,1.88
"Hassle naman sa Dinaga, ang magulo ng Mayor's Permit.",negative,1.16
Solid iyo ang support ng LGU sa lubak.,positive,1.68
"Please man lang, paki-ayos ang City Hall sa Concepcion Pequeña, sobrang magulo eh.",negative,1.19
"Grabe, why is the CASURECO sa Concepcion Grande super palpak?",negative,1.57
"Anubayan, bulok na naman ang Mayor's Permit sa Balatas.",negative,1.48
"Hassle daw naman sa Mabolo, ang disappointing ng water supply.",negative,1.32
"Anubayan, palpak na naman ang kalsada sa San Felipe.",negative,1.38
"Grabe, why is the nawasa sa Centro super baha?",negative,1.74
Su galing ng ilaw sa poste team alerto agad sa Tinago.,positive,1.19
Sain su po pwede magpa-register para sa Health Center?,neutral,0.1
"Marhay iyo na marhay ang tricycle sa Calauag, solid baga.",positive,1.05
May iyo update na ba sa lubak sa San Francisco?,neutral,0.19
Waiting for updates regarding baha in Concepcion Grande.,neutral,0.24
"Grabe, why is the renewal sa Tabuco super disappointing?",negative,1.62
Waiting for updates regarding garbage collection in Sabang.,neutral,0.24
Garo wara man kwenta ang trapik sa Concepcion Pequeña.,negative,1.59
"Please garo lang, paki-ayos ang bakuna sa Sabang, sobrang hassle eh.",negative,1.3
"Bulok na sistema sa checkup, ang gulo sa Bagumbayan Sur.",negative,1.53
Solid ang support ng LGU sa basura.,positive,1.46
"Grabe, garo why is the traffic enforcers sa Sabang super mabagal?",negative,1.2
"Napaka-organized garo ng staff ng trapik sa San Francisco, kudos!",positive,1.13
"Hassle su naman sa Tinago, ang mabagal ng Blue Boys.",negative,1.13
"Bulok na sistema sa ilaw sa poste, ang gulo sa Pacol.",negative,1.63
"Sobrang delikado ng CASURECO sa Dinaga, nakaka-stress!",negative,1.73
"Sobrang delikado ng tubig sa Concepcion Pequeña, nakaka-stress!",negative,2.0
"Marhay na marhay ang Health Center sa Concepcion Grande, alerto baga.",positive,1.59
"Paki-check naman ang ilaw sa poste sa Bagumbayan Sur, walang kwenta na masyado.",negative,1.79
Su iyo galing ng trapik team alertoo agad sa Tabuco.,positive,1.52
Su galing ng street lighTs Team alerto agad sa San Francisco.,positive,1.3
"Napaka-maayos ng staaff ng checkup sa San Francisco, kudos!",positive,1.27
"Marhay na marhay ang ilaw sa poste sa Carolina, mabilis baga.",positive,1.08
Ask ko lang if tuloy ang City Hall sa Dinaga?,neutral,0.32
Garo wara man kwenta ang MNWD sa Mabolo.,negative,1.69
HOY iyo Health Center ANUNA?? Tabuco NA NAMAN KAMI!!,negative,1.8
"Salamat Mayor, iyo efficient na ang drainage sa Concepcion Grande.",positive,1.38
"Wow, in fairneSs, ang maayos na ng renewal sA Panicuason!",positive,1.12
Salamat mayora mAbilis na ang nawasa sa Triangulo.,positive,1.28
"Marhay na marhay ang kanal sa Tabuco, maayos baga.",positive,1.0
"napaka-veery helpful ng staff ng CASURECO sa Dayangdang, kudos!",positive,1.41
"Grabe, why is the basura sa Panicuason super palpak?",negative,1.47
Good job su LGU! maayoos aaang kanal sa Dinaga ngayooon.,positive,1.37
"Hassle naman sa Bagumbayan Sur, ang delikado ng bakuna.",negative,2.0
Okay man su service kang basura sa Peñafrancia.,positive,1.1
HOY MNWD ANUNA?? San Francisco NA NAMAN KAMI!!,negative,1.92
"Napaka-alerto ng staff ng Trimobile sa Tabuco, kudos!",positive,1.38
"Maaarhay na garo marhay ang kanaal saa Peñafrancia, magandA baga.",positive,1.18
"Grabe, why is the road repairs sa San Felipe super mabaho?",negative,1.41
"Bulok na sistema sa Blue Boys, ang gulo sa Pacol.",negative,1.98
Okay man su service kaNg financial assistance sa Concepcion Grande.,positive,1.1
"Hassle naman sa Tabuco, ang bulok ng CASURECO.",negative,1.94
Sain po uni pwede magpa-register para sa garbage collection?,neutral,0.29
"Paki-check naman ang checkup sa Peñafrancia, disappointing na masyado.",negative,1.25
"Sobrang mabaho ng renewal sa Carolina, nakaka-stress!",negative,1.52
Okay daw man su service kang road repairs sa Calauag.,positive,1.1
"Marhay na marhay ang renewal sa Concepcion Grande, efficient baga.",positive,1.34
"Sobrang delikado garoo ng Health Centeer sa Tinagoo, nakaka-stRess!",negative,1.71
"Napaka-maayos ng staff ng drainage sa Dinaga, kudos!",positive,0.95
Okay man garo su service kang City Hall sa Calauag.,positive,0.96
"Salamat man Mayor, efficient na ang Trimobile sa San Francisco.",positive,1.53
"Anubayan, palpak su na naman ang basura sa San Francisco.",negative,1.54
"Paki-check naman ang MNWD sa Concepcion Grande, baha na masyado.",negative,1.85
Su galing ng trapik teaam alerto agad sa Peñafraancia.,positive,1.26
"Hassle naman sa Balatas, ang palpak ng road repairs.",negative,1.46
Ask ko lang if tuloy ang CASURECO sa Pacol?,neutral,0.12
HOY madilim na kalsada ANUNA?? Tabuco NA NAMAN KAMI!!,negative,1.93
"Marhay na marhay ang nawasa sa San Francisco, malinis baga.",positive,1.18
"Marhay daw na marhay ang tricycle sa Bagumbayan Sur, organized baga.",positive,1.36
"Salaamat Mayor, mabilis na ang Blue Boys sa Mabolo.",positive,1.21
Solid ang su support ng LGU sa financial assistance.,positive,1.6
"Salamat Mayor, alerto na ang traffic enforcers sa Centro.",positive,1.51
"Please lang, paki-ayos ang gamot sa Triangulo, sobrang walang kwenta eh.",negative,2.0
"Hassle naman sa Sabang, ang sira ng tricycle.",negative,1.52
Sain po su pwede magpa-register para sa Mayor's Permit?,neutral,0.25
"Tanong lang, kamusta ang basura sa Mabolo?",neutral,0.8
"Grabe, why man is the draainage sa Lerma super mabaho?",negative,1.66
Sain po pwede magpa-register para sa nawasa?,neutral,0.19
OOOkay man su service kang lubak sa Baagumbayan Sur.,positive,1.1
"Maaarhay na marhay aang Checkup sa Pacol, malinis baga.",positive,1.2
"Wow, iyo in fairness, ang solid na ng lubak sa San Francisco!",positive,1.61
Solid ang support ng LGU sa brownout.,positive,1.88
"Napaka-excellent ng staff ng road repaairs saa concepcion Pequeña, kudos!",positive,1.54
"Salamat Mayor, maayos na ang Health Center sa Dinaga.",positive,1.06
Garo wara man kwenta ang Blue Boys sa Centro.,negative,1.38
May update Na ba saa HeeaaaltH Center sa Carolina?,neutral,0.26
Su man galing ng checkup team alerto agad sa Tinago.,positive,1.76
Garo wara man kwenta ang truck ng basura sa Triangulooo.,negative,1.7
Su galing garo ng water supply team alerto aaagad sa Dinaga.,positive,1.04
Solid ang support nG LGU sa klsada,positive,1.66
"Grabe, uni why is the financial assistance sa Peñafrancia super walang kwenta?",negative,2.0
Garo wara man kwenta ang baha sa Tinago.,negative,1.8
Su galing ng ilaw sa poste team alerto agad sa Tabuco.,positive,1.91
"Sobrang mabagAl ng bakuna sa DaayAngdang, nakaka-stress!",negative,1.22
"Tanong lang, kamusta ang tubig sa ConceepCion Pequeña?",neutral,0.8
Sain su po pwede magpa-register para sa bakuna?,neutral,0.23
"Grabe, why is the water supply sa Bagumbayan Sur super palpak?",negative,1.63
"Anubayan, maingay man na naman ang truck ng basura sa Peñafrancia.",negative,1.11
HOY CASuRECO ANUNA?? Dayangdang NA NAMAN KAMI!!,negative,1.99
"Paki-check baga naman ang gamot sa Panicuason, palpak na masyado.",negative,1.67
Okay garo man su service kang gaaarbage collection sa Sabang.,positive,1.08
"Sobrang baga disappointing nG baha sa Balatas, nakaka-stress!",negative,1.34
Solid su ang support ng LGU sa Blue Boys.,positive,1.56
May updatee naaa ba sa gamot saaa PeñAfrancia?,neutral,0.2
May update na ba sa Mayor's Permit sa Pacol?,neutral,0.07
"Sobrang garo maingay ng basura sa Concepcion Grande, nakaka-stress!",negative,0.93
Solid ang support ng LGU sa garbage colLection.,positive,2.0
"Anubayan, iyo baha na naman ang truck ng basura sa Concepcion Grande.",negative,1.69
"GrAbeee, why iiis the kanal sa Balatas super sira?",negative,1.37
Su galing baga ng reneWal team alerto agad sa Dinaga.,positive,1.74
Okay man su service kang MNWD sa Dayangdang.,positive,1.1
"Bulok na sistema sa Trimobile, ang gulo sa San Francisco.",negative,1.31
Okay garo man su service kang MNWD sa Centro.,positive,0.97
May update man na ba sa garbage collection sa Pacol?,neutral,0.01
"Paki-check naman aang gamot sa Panicuason, maabagal na masyado.",negative,1.35
"Salamat Mayor, daw very helpful na ang gamot sa Dayangdang.",positive,1.77
"Marhay su na marhay ang CASURECO sa Peñafrancia, maganda baga.",positive,1.22
"Hassle naman sa San Felipe, ang palpak ng Blue Boys.",negative,1.53
"Wow, in fairness, ang mabiliS naa ng road repairs sa BAlatas!",positive,1.53
Okay daw man su service kang BluE Boys sa San Francisco.,positive,1.1
"Wow, garo in fairness, ang excellent na ng Blue Boys sa Calauag!",positive,2.0
"Anubayan, tambak na naman ang tubig sa Concepcion Pequeña.",negative,1.52
"NaPaka-mAgaanda ng man staff ng Bluue Boys sa Balatas, kudos!",positive,1.06
Su galing daw ng baha team alerto agad sa Balatas.,positive,1.68
"Hassle naman uni sa Calauag, ang mabaho ng financial assistance.",negative,1.44
"Paki-check naman ang kanal sa Dinaga, sira na masyado.",negative,1.41
Waiting for updates regarding tricycle in Lerma.,neutral,0.32
"Sobrang bulok ng truck ng basura sa Calauag, nakaka-stress!",negative,1.48
"Bulok garo na sistema sa trapik, ang gulo sa Dayangdang.",negative,1.54
Okay man daw su service kang madilim na kalsada sa Concepcion Grande.,positive,1.1
"Grabe, why iyo is the tubig sa Sabang super palpak?",negative,1.71
Su galing man ng road repairs team alerto agad sa Pacol.,positive,1.4
"Grabe, why man is tHe trapik sa Triangulo super baha?",negative,1.91
Okay man su service kang tricycle sa DAyaaangdang.,positive,1.1
Solid ang su support ng LGU sa scholarship.,positive,1.63
May daw update na ba sa Trimobile sa Calauag?,neutral,0.04
"Paki-check naman ang Blue Boys sa Sabang, tambak na masyado.",negative,1.45
Good job LGU! maayos ang kuryente sa Panicuason ngayon.,positive,1.34
Okay man su su service kang drainage sa Mabooolo.,positive,1.07
"Grabe, why is the bakuuna sa Centro super baha?",negative,1.79
"Napaka-solid garo ng staff ng scholarship sa Concepcion Grande, kudos!",positive,1.44
"Bulok na iyo sistema sa gamot, ang gulo sa Sabang.",negative,1.45
"Marhay na uni marhay ang City Hall sa Concepcion Pequeeeña, excellent baga.",positive,1.66
"Anubayan, bulok na naman ang lubak sa Tabuco.",negative,1.87
"Sobrang tambak ng renewal sa Calauag, nakaka-stress!",negative,1.52
"Sobrang haSsle ng MaYor's Permit sa Ceentro, nakakaaa-stress!",negative,1.38
"Sobrang mabaho ng nawasa sa Peñafrancia, nakaka-stress!",negative,1.3
Ask ko man lang if tuloy ang Blue Boys sa Triangulo?,neutral,0.3
"Bulok na man sistema sa CASURECO, ang gulo sa Balatas.",negative,1.36
"Please lang, paki-ayos ang Trimobile sa Peñafrancia, sobrang mabaho eh.",negative,1.29
"Paki-check garo naman ang scholarship sa Pacol, palpak na masyado.",negative,1.82
"Paki-check naman ang kanal sa Pacol, magulo na masyado.",negative,1.03
"Grabe, why garo is the brownout sa Pacol super waaalang kwenta?",negative,2.0
Solid ang garo sUpport ng LGU sa renewal.,positive,1.62
"Sobrang bulok ng Health Center sa San Francisco, nakaka-stress!",negative,1.77
"Paki-check naman baga ang water supply sa San Felipe, maingay na masyado.",negative,1.16
"Tanong lang, kamusta ang Trimobile sa Sabang?",neutral,0.8
"Napaka-maganda ng sTaff ng basura sa Centro, kudos!",positive,1.13
"Anubayan, daw mabaho na naman ang scholarship sa Concepcion Pequeña.",negative,1.27
"Anubayan, baha na naman ang brownout sa Carolina.",negative,1.47
Solid ang support ng LGU sa street lights.,positive,1.6
"Wow, in fairness, ang organized na ng gamot sa Tabuco!",positive,1.1
Okay man su service kang scholarship sa Bagumbayan Sur.,positive,1.1
HOY street lights ANUNA?? Centro NA NAMAN KAMI!!,negative,1.93
Solid ang garo support ng LGU sa kalsada.,positive,1.89
"Anubayan, garo sira na naman ang lubak sa Concepcion Grande.",negative,1.51
"Marhay na daw marhay ang financial assistanceee sa San Francisco, mabilis baga.",positive,0.92
"Paki-check su naman ang financial assistance sa Pacol, mabagal na masyado.",negative,1.26
"Paki-check naman ang kanal sa Tinago, baha na masyado.",negative,1.83
"Marhay baga na marhay ang baha sa Peñafrancia, solid baga.",positive,1.63
Garo daw wara man kwenta ang truck ng basura sa Carolina.,negative,1.91
Good su job LGU! mabilis ang Trimobile sa Sabang ngayon.,positive,1.26
Solid iyo ang support ng LGU sa nawasa.,positive,1.68
"Marhay na marhay ang ilaw sa poste sa Pacol, friendly baga.",positive,1.03
Su galing ng garbage collection team alerto agad sa Tabuco.,positive,1.36
Su galing ng ilaw sa poste team alerto agad sa Balatas.,positive,1.53
"Please lang, paki-ayos ang checkup sa Triangulo, sobrang mabaho eh.",negative,1.46
HOY trapik ANUNA?? Lerma NA NAMAN KAMI!!,negative,1.82
"Paki-check naman ang street lights sa Dinaga, walang kwenta na masyado.",negative,1.65
"Grabe, why is the Blue Boys sa Tinago super bulok?",negative,1.64
"Wow, in garo fairness, ang efficient na ng scholarship sa Dayangdang!",positive,1.56
"Paki-check naman ang lubak sa Carolina, hassle na masyado.",negative,1.34
"Please lang, paki-ayos ang bakuna sa Centro, sobrang maingay eh.",negative,1.13
Goood job LGU! Excellent ang ilaw sa poste sa BAgumbayan Sur ngaaayoon.,positive,1.95
Good daaw job LGU! very helpful ang triicyCle saaa Calauag ngayon.,positive,1.59
"Napaka-excellent ng staff ng renewal sa San Francisco, kudos!",positive,1.79
Solid ang support ng LGU sa Mayor's PermIt.,positive,1.51
"Salamat daw Mayor, malinis na ang street lights sa Dinaga.",positive,1.37
"Salamat Mayor, friendly na ang kanal sa San Felipe.",positive,1.18
HOY Trimobile ANUNA?? Pacol NA NAMAN KAMI!!,negative,1.82
Su galing ng lubak team alerto agad sa Dinaga.,positive,1.57
"Napaka-maayos ng staff ng CASURECO sa Peñafrancia, kudos!",positive,1.12
"Salamat uni Mayor, efficient na ang tricycle sa Concepcion Grande.",positive,1.53
"Napaka-friendly ng staff ng bakuna sa Calauag, kudos!",positive,0.84
"Salamat Mayor, solid na ang traffic enforcers sa Balatas.",positive,1.41
"Anubayan, delikado na naman ang road repairs sa Tinago.",negative,1.81
Solid ang support ng LGU sa gamot.,positive,1.62
"Grabe, why garo is the water supply sa Peñafrancia super mabaho?",negative,1.42
Garo wara man kwenta ang scholarship sa Centrooo.,negative,1.55
Okay man su service kang lubak sa Balatas.,positive,1.1
Sain po pwede magpa-register para sa checkup?,neutral,0.26
"Bulok na sistema sa baha, ang gulo sa San Francisco.",negative,1.56
"Hassle garo naman sa BagumbayaN Sur, ang bulok ng gamot.",negative,1.73
Goood job LGU! solid ang Mayor's Permit sa Concepcion Pequeña ngaYon.,positive,1.34
"Wow, in su fairness, ang excellent na ng tricycle sa Mabolo!",positive,1.71
Ask ko lang if tuloy ang bakuna sa Panicuason?,neutral,0.03
"Sobrang tambak garo ng kalsada sa Sabang, nakaka-stress!",negative,1.66
"Marhay na marhay ang financial assistance sa San Francisco, mabilis baga.",positive,1.25
Good job LGU! very helpful ang trapik sa Balatas ngayon.,positive,1.5
"Bulok na sistema sa traffic enforcers, ang gulo sa Dinaga.",negative,1.56
Solid ang support ng LGU sa road repairs.,positive,1.44
"Napaka-maganda ng su staff ng kuryente sa Bagumbayan Sur, kudos!",positive,1.12
Solid daw ang support ng LGU sa CASURECO.,positive,1.41
"Grabe, why is the tubig sa San Feelipe super Hassle?",negative,1.12
Waiting for uuupdates regarding CASURECO in pacol.,neutral,0.31
"anubayan, delikado na naman ang basura sa Carolina.",negative,1.87
Waiting for updates regarding gamot in Calauag.,neutral,0.07
"Paki-check man naman ang kalsada sa Balatas, mabagal na masyado.",negative,1.23
HOY traffic uni enforcers ANUNA?? Tabuco NA NAMAN KAMI!!,negative,1.97
"pls lang, paki-ayos ang ilaw sa poste sa ConCepcion Pequeña, sobrang disappointIng eh.",negative,1.21
Garo wara man kwenta ang kanal sa Sabang.,negative,1.95
HOY kanal ANUNA?? Panicuason NA NAMAN KAMI!!,negative,1.98
"Sobrang baha garo ng MNWD sa Tabuco, nakaka-stress!",negative,1.58
Okay man su service kang traffic enforcers sa Tabuco.,positive,1.1
"Sobrang tambak ng kuryente sa Dayangdang, nakaka-stress!",negative,1.58
Sain po pwede magpa-register para sa bakuna?,neutral,0.12
"Bulok na sistema sa kanal, ang gulo sa San Felipe.",negative,1.56
"HaSsle naMAn saa Bagumbayan Sur, ang tambak ng scholarship.",negative,1.38
"Bulok na garo sistema sa MNWD, ang gulo sa Sabang.",negative,1.59
SolId ang sUpport ng LGU sa tricycle.,positive,1.55
"Tanong lang, kamusta ang garbage collection sa San Francisco?",neutral,0.8
"Sobrang bulok ng garbage collection sa Sabang, nakaka-stress!",negative,2.0
"Grabe, why is the Trimobile sa Calauag supeer tambak?",negative,1.55
"Napaka-solid ng staff ng kanal sa Mabolo, kudos!",positive,1.45
"Marhaaay na marhaay ang City Hall sa Dinaga, maayos baga.",positive,1.24
Okay uni man su service kang renewal sa Sabang.,positive,1.1
Solid ang support ng LGU sa MNWD.,positive,1.55
Su garo galing ng bakuna team alerto agad sa Tinago.,positive,1.36
Solid ang support ng LGU sa road repairs.,positive,1.65
Solid ang support ng LGu sa kalsada.,positive,1.59
"Napaka-efficient ng daw staff ng truck ng basura sa Balatas, kudos!",positive,1.42
"Sobrang palpak ng tubig sa San Felipe, nakaka-stress!",negative,1.59
Okay man su service kang kanal sa Bagumbayan Sur.,positive,0.95
"Hassle naman sa Dayangdang, ang maingay ng ilaw sa poste.",negative,1.2
"Wow, baga in fairness, ang mabilis na ng ilaw sa poste sa Tabuco!",positive,1.23
OKay man su su service kang City Hall sa Tinago.,positive,1.1
"AnubayaN, mAn maguuulo na naman ang City Hall sa Saaan Francisco.",negative,0.74
"Tanong man lang, kamusta ang Blue Boys sa Dayangdang?",neutral,0.8
"Anubayan, delikado na naman ang bakuna sa San Francisco.",negative,1.62
"Grabe, why is the renewal sa San Francisco super sira?",negative,1.28
Su galing ng renewal team alerto agad sa San Felipe.,positive,1.39
Okay man su service kang Trimobile sa Sabang.,positive,1.1
"Hassle naman sa Panicuason, ang tambak ng Trimobile.",negative,1.24
Good job LGU! alerto ang financial assistance sa Concepcion Pequeña ngayon.,positive,1.51
"Paki-check baga naman ang gamot sa Lerma, maingay na masyado.",negative,1.39
May baga update na ba sa nawasa sa Centro?,neutral,0.25
Sain garo po pwede magpa-register para sa scholarship?,neutral,0.2
Waiting for updates regarding truck ng basura in Tabuco.,neutral,0.24
"Anubayan, hassle na naman ang basura sa Triangulo.",negative,1.12
Su galing ng scholarship team alerto agad sa Tinago.,positive,1.62
Sain po pwede magpa-register para sa drainage?,neutral,0.35
Okay man su service kang City Hall sa Panicuason.,positive,1.1
HOY road repairs ANUNA?? Tabuco NA NAMAN KAMI!!,negative,1.92
"Salamat Mayor, daw malinis na ang traffic enforcers sa Peñafranciiia.",positive,1.13
"Marhaay bAga na marhay ang road repairs sa CaLauuuag, maayoS baga.",positive,1.19
HOY garo kalsada ANUNA?? Bagumbayan Sur NA NAMAN KAMI!!,negative,2.0
"Wow, uni in fairness, ang solid na ng ilaw sa poste sa San Francisco!",positive,1.65
"Hassle man naman sa San Felipe, ang hassle ng Health Center.",negative,1.18
Okay man su service kang Blue Boys sa Balatas.,positive,1.1
"Anubayan, walang kwenta na naman ang kanal sa Carolina.",negative,2.0
Solid ang daw support ng LGU sa street lights.,positive,1.64
Garo wara man kwenta ang basura sa Triangulo.,negative,1.45
Ask ko iyo lang if tuloy ang Mayor's Permit sa Pacol?,neutral,0.23
"Hassle naman sa Sabang, ang bulok ng gamot.",negative,1.83
"Anubayan, sira na nAman ang CASURECO sa Saan Felipe.",negative,1.46
"Wow, in fairness, ang excellent na ng kalsada sa Mabolo!",positive,1.74
"Hassle naman sa San Francisco, ang walang kwenta ng road repairs.",negative,2.0
Garo wara man kwenta aang tricycle sa San Felipe.,negative,1.97
"Salamat Mayor, maayos na ang ilaw sa poste sa Triangulo.",positive,1.18
"Marhay na iyo marhay ang basura sa Bagumbayan Sur, mabilis baga.",positive,1.13
Okay man su service kang kalsada sa Dinaga.,positive,1.1
"Bulok na sistema sa street lights, ang gulo sa Carolina.",negative,1.64
Gaaro wara man kwenta ang scholarship sa Tabuco.,negative,1.87
Waiting for updates regarding brownout in San Felipe.,neutral,0.31
May update na ba sa Mayor's Permit Sa Mabolo?,neutral,0.26
Okay man su serVice kang checkuuup saaa Mabolo.,positive,1.1
"Please lang, su paki-ayos ang financial assistance sa Dinaga, sobrang hassle eh.",negative,1.04
HOY MNWD ANUNA?? Balatas NA NAMAN KAMI!!,negative,1.92
"MaRhay na garo marhay ang kalsada sa Lerma, alerto baga.",positive,1.77
"Marhay na marhay ang tricycle sa Balatas, maganda baga.",positive,1.11
"Sobrang uni sira ng kalsada sa Centro, nakaka-stress!",negative,1.23
"SalamaT Mayor, excellent na ang Blue Boys sa Centro.",positive,1.77
"Tanong lang, iyo kamusta ang road repairs sa Pacol?",neutral,0.8
"Salamat Mayor, malinis na ang brownout sa Concepcion Pequeña.",positive,1.25
Goood job LGU! excellent ang Blue Boys sa TinAgo ngayon.,positive,1.52
Garo wara man kwenta ang garbage collection sa Centro.,negative,1.68
"Marhay Iyo na marhay ang lubak sa San Felipe, aleRto bagaaa.",positive,1.74
Garo wara man kwenta ang scholarship sa Concepcion Grande.,negative,1.42
"Napaka-malinis ng staff ng trapik sa Pacol, kudos!",positive,1.12
Su baga galing ng tubig team alerto agad sa Sabang.,positive,0.97
Good uni joob LGU! organized ang City Hall sa Pacol ngayon.,positive,1.16
Su galing ng kuryente team alerto agad sa Dinaga.,positive,1.32
Okay man su sErvicE kang Health Center sa Concepcion Grande.,positive,1.1
Su galing ng garbage collection team alerto agad sa San Felipe.,positive,1.56
"Hassle naman sa Sabang, ang mabagal ng garbage collection.",negative,1.32
"Marhay na marhay ang Mayor's Permit sa Centro, efficient baga.",positive,1.17
"AAAnubayan, mabahooo garo na naman ang madilim na klsada sa Lerma.",negative,1.46
"Wow, in fairness, ang excellent na ng gamot sa Balatas!",positive,1.95
Good job LGU! maganda ang brownout sa Centro ngayon.,positive,1.21
"Please lang, paki-ayos ang Health Center sa Mabolo, sobrang maingay eh.",negative,1.25
Okay man su service kang drainage sa Panicuason.,positive,1.1
Ask uni ko lang if tuloy ang traffic enforcers sa Bagumbayan Sur?,neutral,0.22
"Bulok uni na sistemaaa sa ilaw sa pOste, ang gulo sa Dinaga.",negative,1.39
